Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I,Voltage_V,Resistance_Ohm
1.493837e+01,1.683678e-02,-1.059843e+05,1.059843e+05,1.157105e+01,6.542553e-03,-5.958338e+00,5.621905e+04
1.505693e+01,2.388504e-02,-1.062387e+05,1.062387e+05,1.157344e+01,5.328112e-03,-5.958071e+00,5.608191e+04
1.517549e+01,2.417975e-02,-1.064284e+05,1.064284e+05,1.157523e+01,3.486587e-03,-5.958060e+00,5.598185e+04
1.529405e+01,1.866217e-02,-1.063954e+05,1.063954e+05,1.157492e+01,1.775579e-03,-5.958269e+00,5.600120e+04
1.541260e+01,1.808047e-02,-1.063123e+05,1.063123e+05,1.157414e+01,-5.268742e-04,-5.958291e+00,5.604516e+04
1.553116e+01,1.715538e-02,-1.062048e+05,1.062048e+05,1.157312e+01,-2.235493e-03,-5.958326e+00,5.610221e+04
1.564972e+01,1.770967e-02,-1.061337e+05,1.061337e+05,1.157245e+01,-2.374199e-03,-5.958305e+00,5.613963e+04
1.576828e+01,2.050193e-02,-1.061375e+05,1.061375e+05,1.157249e+01,-1.266471e-03,-5.958199e+00,5.613660e+04
1.588684e+01,2.675036e-02,-1.061554e+05,1.061554e+05,1.157266e+01,-1.988275e-04,-5.957963e+00,5.612492e+04
1.600540e+01,1.913656e-02,-1.061946e+05,1.061946e+05,1.157303e+01,5.356402e-04,-5.958251e+00,5.610689e+04
1.612395e+01,1.992559e-02,-1.062255e+05,1.062255e+05,1.157332e+01,7.107071e-04,-5.958221e+00,5.609032e+04
1.624251e+01,3.230674e-02,-1.062208e+05,1.062208e+05,1.157327e+01,4.248985e-04,-5.957753e+00,5.608841e+04
1.636107e+01,2.641234e-02,-1.062026e+05,1.062026e+05,1.157310e+01,8.149122e-05,-5.957976e+00,5.610012e+04
1.647963e+01,2.429781e-02,-1.061952e+05,1.061952e+05,1.157303e+01,-2.207090e-04,-5.958056e+00,5.610478e+04
1.659819e+01,2.360260e-02,-1.061945e+05,1.061945e+05,1.157303e+01,-8.103308e-04,-5.958082e+00,5.610537e+04
1.671675e+01,2.540920e-02,-1.061939e+05,1.061939e+05,1.157302e+01,-1.491266e-03,-5.958014e+00,5.610506e+04
1.683531e+01,2.934961e-02,-1.061932e+05,1.061932e+05,1.157302e+01,-2.441942e-03,-5.957865e+00,5.610400e+04
1.695386e+01,2.661617e-02,-1.061926e+05,1.061926e+05,1.157301e+01,-2.904715e-03,-5.957968e+00,5.610531e+04
1.707242e+01,1.589228e-02,-1.060986e+05,1.060986e+05,1.157212e+01,-2.685165e-03,-5.958373e+00,5.615883e+04
1.719098e+01,1.885121e-02,-1.060189e+05,1.060189e+05,1.157137e+01,-1.759011e-03,-5.958262e+00,5.620000e+04
1.730954e+01,1.816061e-02,-1.059224e+05,1.059224e+05,1.157046e+01,-9.782964e-04,-5.958288e+00,5.625146e+04
1.742810e+01,1.655272e-02,-1.059625e+05,1.059625e+05,1.157084e+01,-4.852704e-04,-5.958348e+00,5.623075e+04
1.754666e+01,1.740302e-02,-1.060403e+05,1.060403e+05,1.157157e+01,6.220321e-04,-5.958316e+00,5.618914e+04
1.766522e+01,2.498042e-02,-1.061358e+05,1.061358e+05,1.157247e+01,1.621974e-03,-5.958030e+00,5.613593e+04
1.778377e+01,2.467258e-02,-1.060944e+05,1.060944e+05,1.157208e+01,2.167087e-03,-5.958042e+00,5.615791e+04
1.790233e+01,2.546842e-02,-1.060161e+05,1.060161e+05,1.157135e+01,2.352080e-03,-5.958012e+00,5.619910e+04
1.802089e+01,3.226084e-02,-1.060886e+05,1.060886e+05,1.157203e+01,2.150792e-03,-5.957755e+00,5.615832e+04
1.813945e+01,3.155671e-02,-1.061598e+05,1.061598e+05,1.157270e+01,1.797365e-03,-5.957782e+00,5.612091e+04
1.825801e+01,2.502892e-02,-1.061889e+05,1.061889e+05,1.157298e+01,1.411096e-03,-5.958028e+00,5.610781e+04
1.837657e+01,1.556063e-02,-1.062844e+05,1.062844e+05,1.157387e+01,4.962663e-04,-5.958386e+00,5.606077e+04
1.849512e+01,2.486588e-02,-1.062518e+05,1.062518e+05,1.157357e+01,-3.948300e-04,-5.958034e+00,5.607468e+04
1.861368e+01,2.967515e-02,-1.061979e+05,1.061979e+05,1.157306e+01,-6.801440e-04,-5.957853e+00,5.610143e+04
1.873224e+01,2.395559e-02,-1.061117e+05,1.061117e+05,1.157225e+01,-6.575461e-04,-5.958069e+00,5.614901e+04
1.885080e+01,2.793444e-02,-1.060576e+05,1.060576e+05,1.157174e+01,-9.658516e-04,-5.957919e+00,5.617623e+04
1.896936e+01,2.655262e-02,-1.061508e+05,1.061508e+05,1.157262e+01,-7.963866e-04,-5.957971e+00,5.612741e+04
1.908792e+01,1.926163e-02,-1.062083e+05,1.062083e+05,1.157316e+01,-8.691925e-05,-5.958246e+00,5.609963e+04
1.920648e+01,1.866486e-02,-1.062073e+05,1.062073e+05,1.157315e+01,7.418757e-04,-5.958269e+00,5.610035e+04
1.932503e+01,2.096353e-02,-1.061203e+05,1.061203e+05,1.157233e+01,9.988892e-04,-5.958182e+00,5.614554e+04
1.944359e+01,2.489399e-02,-1.060741e+05,1.060741e+05,1.157189e+01,7.193515e-04,-5.958033e+00,5.616859e+04
1.956215e+01,2.622817e-02,-1.061642e+05,1.061642e+05,1.157274e+01,-1.119497e-04,-5.957983e+00,5.612045e+04
1.968071e+01,2.726445e-02,-1.062322e+05,1.062322e+05,1.157338e+01,-1.947324e-03,-5.957944e+00,5.608416e+04
1.979927e+01,2.533760e-02,-1.062405e+05,1.062405e+05,1.157346e+01,-3.297101e-03,-5.958017e+00,5.608044e+04
1.991783e+01,8.334330e-03,-1.062391e+05,1.062391e+05,1.157345e+01,-3.878662e-03,-5.958659e+00,5.608725e+04
2.003638e+01,2.355112e-02,-1.060638e+05,1.060638e+05,1.157180e+01,-3.750725e-03,-5.958084e+00,5.617455e+04
2.015494e+01,3.158500e-02,-1.057812e+05,1.057812e+05,1.156913e+01,-2.757753e-03,-5.957781e+00,5.632172e+04
2.027350e+01,2.664421e-02,-1.057672e+05,1.057672e+05,1.156900e+01,-8.253113e-04,-5.957967e+00,5.633094e+04
2.039206e+01,2.421441e-02,-1.059104e+05,1.059104e+05,1.157035e+01,1.965147e-03,-5.958059e+00,5.625565e+04
2.051062e+01,3.146781e-02,-1.060494e+05,1.060494e+05,1.157166e+01,4.938182e-03,-5.957785e+00,5.617936e+04
2.062918e+01,2.667621e-02,-1.060938e+05,1.060938e+05,1.157208e+01,7.019499e-03,-5.957966e+00,5.615755e+04
2.074774e+01,2.638847e-02,-1.061685e+05,1.061685e+05,1.157278e+01,6.486081e-03,-5.957977e+00,5.611811e+04
2.086629e+01,3.142292e-02,-1.063043e+05,1.063043e+05,1.157406e+01,5.212399e-03,-5.957787e+00,5.604466e+04
2.098485e+01,3.539755e-02,-1.063566e+05,1.063566e+05,1.157455e+01,3.834283e-03,-5.957637e+00,5.601570e+04
2.110341e+01,3.347341e-02,-1.064369e+05,1.064369e+05,1.157531e+01,2.462624e-03,-5.957709e+00,5.597410e+04
2.122197e+01,3.723248e-02,-1.063903e+05,1.063903e+05,1.157487e+01,1.008932e-03,-5.957567e+00,5.599728e+04
2.134053e+01,3.050363e-02,-1.064206e+05,1.064206e+05,1.157515e+01,-2.660283e-04,-5.957822e+00,5.598374e+04
2.145909e+01,2.780972e-02,-1.063847e+05,1.063847e+05,1.157482e+01,-3.871100e-04,-5.957923e+00,5.600358e+04
2.157765e+01,3.209175e-02,-1.063304e+05,1.063304e+05,1.157431e+01,-8.492148e-07,-5.957762e+00,5.603065e+04
2.169620e+01,3.111333e-02,-1.063296e+05,1.063296e+05,1.157430e+01,7.729178e-04,-5.957798e+00,5.603142e+04
2.181476e+01,3.754926e-02,-1.063288e+05,1.063288e+05,1.157429e+01,6.435170e-04,-5.957555e+00,5.602955e+04
2.193332e+01,3.903477e-02,-1.064173e+05,1.064173e+05,1.157512e+01,-6.709862e-05,-5.957499e+00,5.598244e+04
