Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I
8.857355e+00,2.373621e-01,2.672809e+01,2.672809e+01,3.285715e+00,-7.854244e-03
8.955770e+00,2.180188e-01,2.686488e+01,2.686488e+01,3.290820e+00,-2.300437e-02
9.054185e+00,2.569274e-01,2.690299e+01,2.690299e+01,3.292237e+00,-4.778608e-02
9.152600e+00,2.543547e-01,2.652719e+01,2.652719e+01,3.278170e+00,-6.704269e-02
9.251015e+00,2.649647e-01,2.633702e+01,2.633702e+01,3.270975e+00,-5.796532e-02
9.349430e+00,2.457799e-01,2.585056e+01,2.585056e+01,3.252332e+00,-4.785936e-02
9.447845e+00,2.570308e-01,2.548715e+01,2.548715e+01,3.238174e+00,-2.577035e-02
9.546260e+00,2.368916e-01,2.569197e+01,2.569197e+01,3.246178e+00,8.118402e-03
9.644675e+00,2.569716e-01,2.623560e+01,2.623560e+01,3.267117e+00,2.258266e-02
9.743091e+00,2.425030e-01,2.613316e+01,2.613316e+01,3.263205e+00,3.034407e-02
9.841506e+00,2.460161e-01,2.628205e+01,2.628205e+01,3.268886e+00,1.865064e-02
9.939921e+00,2.741315e-01,2.655053e+01,2.655053e+01,3.279050e+00,-1.440251e-03
1.003834e+01,2.472301e-01,2.617126e+01,2.617126e+01,3.264662e+00,-2.125294e-02
1.013675e+01,2.388571e-01,2.605953e+01,2.605953e+01,3.260383e+00,-3.694206e-02
1.023517e+01,2.324837e-01,2.585023e+01,2.585023e+01,3.252320e+00,-4.547255e-02
1.033358e+01,2.528369e-01,2.598754e+01,2.598754e+01,3.257617e+00,-4.561611e-02
1.043200e+01,2.328758e-01,2.586482e+01,2.586482e+01,3.252884e+00,-3.710968e-02
1.053041e+01,2.507439e-01,2.539301e+01,2.539301e+01,3.234474e+00,-4.080442e-02
1.062883e+01,2.535238e-01,2.557898e+01,2.557898e+01,3.241771e+00,-5.340861e-02
1.072724e+01,2.652581e-01,2.557696e+01,2.557696e+01,3.241692e+00,-7.092735e-02
1.082566e+01,2.600304e-01,2.540531e+01,2.540531e+01,3.234958e+00,-7.642214e-02
1.092407e+01,2.551406e-01,2.512614e+01,2.512614e+01,3.223909e+00,-8.249603e-02
1.102249e+01,2.372520e-01,2.467810e+01,2.467810e+01,3.205916e+00,-8.996818e-02
1.112090e+01,2.585688e-01,2.441320e+01,2.441320e+01,3.195124e+00,-8.357357e-02
1.121932e+01,2.595276e-01,2.433591e+01,2.433591e+01,3.191953e+00,-6.643139e-02
1.131773e+01,2.606168e-01,2.406117e+01,2.406117e+01,3.180599e+00,-4.547944e-02
1.141615e+01,2.696394e-01,2.413049e+01,2.413049e+01,3.183476e+00,-3.230478e-02
1.151456e+01,2.631649e-01,2.409672e+01,2.409672e+01,3.182076e+00,-2.698750e-02
1.161298e+01,2.340926e-01,2.412181e+01,2.412181e+01,3.183117e+00,-2.688434e-02
1.171139e+01,2.560093e-01,2.410728e+01,2.410728e+01,3.182514e+00,-3.134452e-02
1.180981e+01,2.380515e-01,2.384879e+01,2.384879e+01,3.171734e+00,-4.345372e-02
1.190822e+01,2.561658e-01,2.379752e+01,2.379752e+01,3.169581e+00,-5.097286e-02
1.200664e+01,2.683286e-01,2.371934e+01,2.371934e+01,3.166291e+00,-6.035879e-02
1.210505e+01,2.542081e-01,2.348377e+01,2.348377e+01,3.156310e+00,-7.702294e-02
1.220347e+01,2.583191e-01,2.334305e+01,2.334305e+01,3.150299e+00,-8.183299e-02
1.230188e+01,2.445545e-01,2.324068e+01,2.324068e+01,3.145904e+00,-8.616982e-02
1.240030e+01,2.491171e-01,2.300027e+01,2.300027e+01,3.135506e+00,-7.045144e-02
1.249871e+01,2.640865e-01,2.246184e+01,2.246184e+01,3.111818e+00,-5.205410e-02
1.259713e+01,2.690412e-01,2.247146e+01,2.247146e+01,3.112246e+00,-4.126759e-02
1.269554e+01,2.482598e-01,2.239534e+01,2.239534e+01,3.108853e+00,-3.008892e-02
1.279396e+01,2.387091e-01,2.276966e+01,2.276966e+01,3.125429e+00,-1.510347e-02
1.289237e+01,2.407764e-01,2.270214e+01,2.270214e+01,3.122459e+00,-5.528196e-03
1.299079e+01,2.583042e-01,2.248262e+01,2.248262e+01,3.112742e+00,-1.281419e-02
1.308920e+01,2.373205e-01,2.241975e+01,2.241975e+01,3.109942e+00,-2.559412e-02
1.318762e+01,2.436895e-01,2.244273e+01,2.244273e+01,3.110967e+00,-4.585915e-02
1.328603e+01,2.443142e-01,2.235933e+01,2.235933e+01,3.107244e+00,-6.137269e-02
1.338445e+01,2.467659e-01,2.230692e+01,2.230692e+01,3.104897e+00,-7.922750e-02
1.348286e+01,2.373053e-01,2.207666e+01,2.207666e+01,3.094521e+00,-1.047053e-01
1.358128e+01,2.458606e-01,2.182992e+01,2.182992e+01,3.083282e+00,-1.142599e-01
1.367969e+01,2.311766e-01,2.139555e+01,2.139555e+01,3.063183e+00,-1.106830e-01
1.377811e+01,2.498687e-01,2.107057e+01,2.107057e+01,3.047877e+00,-1.001119e-01
1.387652e+01,2.394895e-01,2.069981e+01,2.069981e+01,3.030125e+00,-7.931824e-02
1.397494e+01,2.405352e-01,2.083172e+01,2.083172e+01,3.036477e+00,-6.570906e-02
1.407335e+01,2.640885e-01,2.082626e+01,2.082626e+01,3.036215e+00,-4.544721e-02
1.417177e+01,2.464079e-01,2.074916e+01,2.074916e+01,3.032506e+00,-3.514845e-02
1.427018e+01,2.589033e-01,2.073547e+01,2.073547e+01,3.031846e+00,-3.511786e-02
1.436860e+01,2.435864e-01,2.040840e+01,2.040840e+01,3.015947e+00,-4.579239e-02
1.446701e+01,2.324402e-01,2.049484e+01,2.049484e+01,3.020173e+00,-4.160751e-02
1.456543e+01,2.367945e-01,2.038525e+01,2.038525e+01,3.014811e+00,-3.660507e-02
1.466384e+01,2.270389e-01,2.022041e+01,2.022041e+01,3.006692e+00,-3.502915e-02
1.476226e+01,2.424643e-01,2.014153e+01,2.014153e+01,3.002784e+00,-4.013581e-02
1.486067e+01,2.405606e-01,2.028628e+01,2.028628e+01,3.009945e+00,-5.830318e-02
1.495909e+01,2.378247e-01,2.018310e+01,2.018310e+01,3.004846e+00,-6.542536e-02
1.505750e+01,2.516915e-01,2.001699e+01,2.001699e+01,2.996581e+00,-7.085782e-02
1.515592e+01,2.476653e-01,1.965950e+01,1.965950e+01,2.978561e+00,-7.457442e-02
1.525433e+01,2.436714e-01,1.941086e+01,1.941086e+01,2.965833e+00,-7.907076e-02
1.535275e+01,2.588683e-01,1.938164e+01,1.938164e+01,2.964326e+00,-7.571890e-02
1.545116e+01,2.683246e-01,1.928950e+01,1.928950e+01,2.959561e+00,-6.840251e-02
1.554958e+01,2.443491e-01,1.926770e+01,1.926770e+01,2.958430e+00,-6.073688e-02
1.564799e+01,2.591393e-01,1.910784e+01,1.910784e+01,2.950099e+00,-6.205349e-02
1.574641e+01,2.507118e-01,1.890757e+01,1.890757e+01,2.939563e+00,-6.007383e-02
1.584482e+01,2.310026e-01,1.880632e+01,1.880632e+01,2.934193e+00,-6.304725e-02
1.594324e+01,2.592399e-01,1.867855e+01,1.867855e+01,2.927376e+00,-6.351310e-02
1.604165e+01,2.374242e-01,1.852907e+01,1.852907e+01,2.919341e+00,-6.175293e-02
1.614007e+01,2.327642e-01,1.864004e+01,1.864004e+01,2.925312e+00,-6.951878e-02
1.623848e+01,2.351108e-01,1.835226e+01,1.835226e+01,2.909753e+00,-8.668869e-02
1.633690e+01,2.419532e-01,1.827928e+01,1.827928e+01,2.905768e+00,-1.127122e-01
1.643531e+01,2.333148e-01,1.812006e+01,1.812006e+01,2.897020e+00,-1.227147e-01
1.653373e+01,2.517295e-01,1.777900e+01,1.777900e+01,2.878018e+00,-1.275445e-01
1.663214e+01,2.332354e-01,1.744906e+01,1.744906e+01,2.859286e+00,-1.115510e-01
1.673056e+01,2.421525e-01,1.699397e+01,1.699397e+01,2.832859e+00,-1.114513e-01
1.682897e+01,2.239807e-01,1.711058e+01,1.711058e+01,2.839697e+00,-1.063891e-01
1.692739e+01,2.368411e-01,1.703819e+01,1.703819e+01,2.835458e+00,-1.071397e-01
1.702580e+01,2.109710e-01,1.707751e+01,1.707751e+01,2.837763e+00,-1.137998e-01
1.712422e+01,2.361950e-01,1.664086e+01,1.664086e+01,2.811861e+00,-1.220575e-01
1.722263e+01,2.581592e-01,1.643963e+01,1.643963e+01,2.799695e+00,-1.461830e-01
1.732105e+01,2.073319e-01,1.604715e+01,1.604715e+01,2.775532e+00,-1.534267e-01
1.741946e+01,2.324387e-01,1.580280e+01,1.580280e+01,2.760187e+00,-1.463149e-01
1.751788e+01,2.055871e-01,1.567060e+01,1.567060e+01,2.751786e+00,-1.188392e-01
1.761630e+01,2.119379e-01,1.540237e+01,1.540237e+01,2.734521e+00,-8.762299e-02
1.771471e+01,2.134345e-01,1.527642e+01,1.527642e+01,2.726310e+00,-5.554025e-02
1.781313e+01,2.223954e-01,1.524810e+01,1.524810e+01,2.724455e+00,-3.219553e-02
1.791154e+01,1.851138e-01,1.523941e+01,1.523941e+01,2.723885e+00,-2.140336e-02
1.800996e+01,2.103441e-01,1.538378e+01,1.538378e+01,2.733314e+00,-1.977315e-02
1.810837e+01,2.075444e-01,1.533540e+01,1.533540e+01,2.730164e+00,-3.255064e-02
1.820679e+01,1.818312e-01,1.533421e+01,1.533421e+01,2.730086e+00,-5.591523e-02
1.830520e+01,1.501022e-01,1.517084e+01,1.517084e+01,2.719375e+00,-8.746203e-02
1.840362e+01,1.306459e-01,1.497149e+01,1.497149e+01,2.706148e+00,-1.196851e-01
1.850203e+01,1.826385e-01,1.480627e+01,1.480627e+01,2.695050e+00,-1.290482e-01
1.860045e+01,2.090755e-01,1.458244e+01,1.458244e+01,2.679818e+00,-1.303835e-01
1.869886e+01,2.212412e-01,1.427393e+01,1.427393e+01,2.658435e+00,-1.159843e-01
1.879728e+01,2.251502e-01,1.403626e+01,1.403626e+01,2.641644e+00,-1.098430e-01
1.889569e+01,1.972228e-01,1.405593e+01,1.405593e+01,2.643044e+00,-1.062488e-01
1.899411e+01,2.421903e-01,1.396096e+01,1.396096e+01,2.636265e+00,-9.618387e-02
1.909252e+01,1.963643e-01,1.395886e+01,1.395886e+01,2.636115e+00,-9.758426e-02
1.919094e+01,2.034983e-01,1.365111e+01,1.365111e+01,2.613821e+00,-9.817571e-02
1.928935e+01,2.132997e-01,1.346651e+01,1.346651e+01,2.600206e+00,-1.139812e-01
1.938777e+01,1.816967e-01,1.342535e+01,1.342535e+01,2.597144e+00,-1.107111e-01
1.948618e+01,2.152498e-01,1.312847e+01,1.312847e+01,2.574783e+00,-1.104353e-01
1.958460e+01,1.998048e-01,1.315034e+01,1.315034e+01,2.576448e+00,-1.029505e-01
1.968301e+01,2.006789e-01,1.286460e+01,1.286460e+01,2.554480e+00,-9.998336e-02
1.978143e+01,1.844051e-01,1.292416e+01,1.292416e+01,2.559099e+00,-9.644902e-02
1.987984e+01,1.842348e-01,1.270717e+01,1.270717e+01,2.542166e+00,-9.036764e-02
1.997826e+01,1.883591e-01,1.254687e+01,1.254687e+01,2.529471e+00,-1.019124e-01
2.007667e+01,1.953803e-01,1.247852e+01,1.247852e+01,2.524009e+00,-9.725543e-02
2.017509e+01,1.902721e-01,1.242128e+01,1.242128e+01,2.519411e+00,-1.143758e-01
2.027350e+01,1.864085e-01,1.226561e+01,1.226561e+01,2.506800e+00,-1.028497e-01
2.037192e+01,1.827405e-01,1.201487e+01,1.201487e+01,2.486145e+00,-8.316758e-02
2.047033e+01,1.605514e-01,1.201099e+01,1.201099e+01,2.485822e+00,-9.790190e-02
2.056875e+01,1.906666e-01,1.168700e+01,1.168700e+01,2.458477e+00,-1.055681e-01
2.066716e+01,1.626062e-01,1.183418e+01,1.183418e+01,2.470992e+00,-1.038976e-01
2.076558e+01,1.324687e-01,1.196722e+01,1.196722e+01,2.482171e+00,-1.033253e-01
2.086399e+01,1.540426e-01,1.138429e+01,1.138429e+01,2.432235e+00,-1.192451e-01
2.096241e+01,1.612801e-01,1.130435e+01,1.130435e+01,2.425187e+00,-1.302525e-01
2.106082e+01,1.593974e-01,1.124599e+01,1.124599e+01,2.420012e+00,-1.562216e-01
2.115924e+01,1.221393e-01,1.112623e+01,1.112623e+01,2.409305e+00,-1.727077e-01
2.125765e+01,1.498913e-01,1.087432e+01,1.087432e+01,2.386404e+00,-1.604438e-01
2.135607e+01,1.460186e-01,1.068803e+01,1.068803e+01,2.369124e+00,-1.709357e-01
2.145448e+01,1.126438e-01,1.050702e+01,1.050702e+01,2.352044e+00,-1.710494e-01
2.155290e+01,1.136114e-01,1.021433e+01,1.021433e+01,2.323792e+00,-1.696828e-01
2.165131e+01,1.202103e-01,1.012958e+01,1.012958e+01,2.315459e+00,-1.720970e-01
2.174973e+01,1.288394e-01,1.000024e+01,1.000024e+01,2.302609e+00,-1.831065e-01
2.184814e+01,1.334692e-01,9.917811e+00,9.917811e+00,2.294332e+00,-1.768219e-01
2.194656e+01,1.532915e-01,9.682045e+00,9.682045e+00,2.270273e+00,-1.589793e-01
2.204497e+01,1.593989e-01,9.399347e+00,9.399347e+00,2.240640e+00,-1.601143e-01
2.214339e+01,1.724857e-01,9.156021e+00,9.156021e+00,2.214412e+00,-1.600194e-01
2.224180e+01,1.568620e-01,9.193930e+00,9.193930e+00,2.218544e+00,-1.655251e-01
2.234022e+01,1.378506e-01,9.200987e+00,9.200987e+00,2.219311e+00,-1.703513e-01
