Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I,Voltage_V,Resistance_Ohm
1.197902e+01,9.152293e-01,1.803446e+05,1.803446e+05,1.210262e+01,9.830125e-04,6.081475e+00,3.372141e+04
1.209762e+01,9.272160e-01,1.803461e+05,1.803461e+05,1.210263e+01,1.126126e-03,6.081934e+00,3.372367e+04
1.221622e+01,9.044086e-01,1.803476e+05,1.803476e+05,1.210264e+01,1.105492e-03,6.081061e+00,3.371856e+04
1.233483e+01,9.059380e-01,1.803567e+05,1.803567e+05,1.210269e+01,1.347420e-03,6.081120e+00,3.371719e+04
1.245343e+01,9.064481e-01,1.804963e+05,1.804963e+05,1.210347e+01,6.491290e-04,6.081139e+00,3.369121e+04
1.257204e+01,8.910039e-01,1.803748e+05,1.803748e+05,1.210279e+01,3.486868e-04,6.080549e+00,3.371063e+04
1.269064e+01,8.975460e-01,1.804891e+05,1.804891e+05,1.210343e+01,3.209873e-05,6.080799e+00,3.369068e+04
1.280924e+01,9.217768e-01,1.804840e+05,1.804840e+05,1.210340e+01,-3.494792e-04,6.081726e+00,3.369676e+04
1.292785e+01,8.965989e-01,1.803743e+05,1.803743e+05,1.210279e+01,-6.455781e-04,6.080763e+00,3.371191e+04
1.304645e+01,8.770767e-01,1.803761e+05,1.803761e+05,1.210280e+01,-3.881179e-04,6.080016e+00,3.370743e+04
1.316506e+01,8.725148e-01,1.803770e+05,1.803770e+05,1.210280e+01,-1.265480e-04,6.079841e+00,3.370630e+04
1.328366e+01,8.977568e-01,1.803620e+05,1.803620e+05,1.210272e+01,4.730888e-04,6.080807e+00,3.371446e+04
1.340226e+01,8.807108e-01,1.803817e+05,1.803817e+05,1.210283e+01,1.037770e-03,6.080155e+00,3.370716e+04
1.352087e+01,8.720439e-01,1.803911e+05,1.803911e+05,1.210288e+01,1.232510e-03,6.079823e+00,3.370357e+04
1.363947e+01,8.689729e-01,1.805180e+05,1.805180e+05,1.210359e+01,1.599392e-03,6.079706e+00,3.367922e+04
1.375808e+01,8.776474e-01,1.805195e+05,1.805195e+05,1.210359e+01,1.375618e-03,6.080038e+00,3.368079e+04
1.387668e+01,8.828941e-01,1.805222e+05,1.805222e+05,1.210361e+01,8.933949e-04,6.080238e+00,3.368139e+04
1.399529e+01,8.855112e-01,1.805501e+05,1.805501e+05,1.210376e+01,3.635947e-05,6.080339e+00,3.367673e+04
1.411389e+01,8.891486e-01,1.806471e+05,1.806471e+05,1.210430e+01,-3.111684e-04,6.080478e+00,3.365942e+04
1.423249e+01,8.721314e-01,1.805241e+05,1.805241e+05,1.210362e+01,7.671044e-05,6.079827e+00,3.367876e+04
1.435110e+01,8.701954e-01,1.804966e+05,1.804966e+05,1.210347e+01,-6.160190e-06,6.079753e+00,3.368347e+04
1.446970e+01,8.533042e-01,1.803853e+05,1.803853e+05,1.210285e+01,-5.818436e-05,6.079106e+00,3.370068e+04
1.458831e+01,8.552660e-01,1.805380e+05,1.805380e+05,1.210370e+01,3.649627e-04,6.079181e+00,3.367258e+04
1.470691e+01,8.513309e-01,1.806523e+05,1.806523e+05,1.210433e+01,1.151332e-03,6.079031e+00,3.365044e+04
1.482551e+01,8.459179e-01,1.805328e+05,1.805328e+05,1.210367e+01,1.430329e-03,6.078824e+00,3.367157e+04
1.494412e+01,8.534517e-01,1.805427e+05,1.805427e+05,1.210372e+01,1.476906e-03,6.079112e+00,3.367133e+04
1.506272e+01,8.633761e-01,1.806655e+05,1.806655e+05,1.210440e+01,9.364337e-04,6.079492e+00,3.365054e+04
1.518133e+01,8.662207e-01,1.806898e+05,1.806898e+05,1.210454e+01,6.524901e-04,6.079601e+00,3.364661e+04
1.529993e+01,8.641420e-01,1.806913e+05,1.806913e+05,1.210455e+01,3.625302e-04,6.079521e+00,3.364589e+04
1.541853e+01,8.812532e-01,1.806928e+05,1.806928e+05,1.210455e+01,-2.270944e-04,6.080176e+00,3.364924e+04
1.553714e+01,8.525145e-01,1.806925e+05,1.806925e+05,1.210455e+01,-7.761062e-04,6.079076e+00,3.364321e+04
1.565574e+01,8.492448e-01,1.806607e+05,1.806607e+05,1.210438e+01,-4.851279e-04,6.078951e+00,3.364844e+04
1.577435e+01,8.390910e-01,1.805465e+05,1.805465e+05,1.210374e+01,2.351328e-04,6.078563e+00,3.366757e+04
1.589295e+01,8.437995e-01,1.805732e+05,1.805732e+05,1.210389e+01,9.382213e-04,6.078743e+00,3.366359e+04
1.601155e+01,8.318506e-01,1.805840e+05,1.805840e+05,1.210395e+01,1.494078e-03,6.078286e+00,3.365904e+04
1.613016e+01,8.513481e-01,1.807107e+05,1.807107e+05,1.210465e+01,1.569942e-03,6.079032e+00,3.363957e+04
1.624876e+01,8.364234e-01,1.808297e+05,1.808297e+05,1.210531e+01,1.445641e-03,6.078461e+00,3.361429e+04
