Distance,SEM_norm,I_raw,abs_I,ln_abs_I,deriv_ln_I
1.033291e+01,8.606813e-02,-6.426364e+04,6.426364e+04,1.107075e+01,-1.398788e-03
1.045033e+01,7.418371e-02,-6.430752e+04,6.430752e+04,1.107143e+01,-1.656829e-03
1.056775e+01,7.557078e-02,-6.425982e+04,6.425982e+04,1.107069e+01,-1.253576e-03
1.068517e+01,7.389779e-02,-6.419615e+04,6.419615e+04,1.106970e+01,-4.929927e-04
1.080259e+01,8.291345e-02,-6.415505e+04,6.415505e+04,1.106906e+01,-1.110893e-03
1.092000e+01,8.245992e-02,-6.415814e+04,6.415814e+04,1.106911e+01,-6.152649e-04
1.103742e+01,7.776465e-02,-6.427673e+04,6.427673e+04,1.107095e+01,4.260096e-04
1.115484e+01,7.924108e-02,-6.425142e+04,6.425142e+04,1.107056e+01,1.331188e-03
1.127226e+01,7.875175e-02,-6.418108e+04,6.418108e+04,1.106946e+01,2.067175e-03
1.138968e+01,8.349033e-02,-6.423887e+04,6.423887e+04,1.107036e+01,1.046045e-03
1.150710e+01,8.650716e-02,-6.423960e+04,6.423960e+04,1.107038e+01,-6.101193e-04
1.162452e+01,7.848711e-02,-6.426682e+04,6.426682e+04,1.107080e+01,-8.253710e-05
1.174194e+01,8.571112e-02,-6.432909e+04,6.432909e+04,1.107177e+01,1.522135e-04
1.185936e+01,1.033514e-01,-6.421488e+04,6.421488e+04,1.106999e+01,-1.155514e-03
1.197678e+01,8.754150e-02,-6.415418e+04,6.415418e+04,1.106904e+01,-1.224099e-03
1.209420e+01,9.318098e-02,-6.425192e+04,6.425192e+04,1.107057e+01,-2.021201e-03
1.221162e+01,9.221493e-02,-6.424422e+04,6.424422e+04,1.107045e+01,-2.018267e-03
1.232904e+01,8.670799e-02,-6.415590e+04,6.415590e+04,1.106907e+01,-3.648550e-04
1.244646e+01,9.542670e-02,-6.421748e+04,6.421748e+04,1.107003e+01,7.752066e-05
1.256388e+01,9.053365e-02,-6.412888e+04,6.412888e+04,1.106865e+01,6.707984e-05
1.268130e+01,8.833260e-02,-6.415763e+04,6.415763e+04,1.106910e+01,6.025747e-04
1.279872e+01,9.169705e-02,-6.423925e+04,6.423925e+04,1.107037e+01,3.166182e-04
1.291613e+01,8.126309e-02,-6.422248e+04,6.422248e+04,1.107011e+01,-3.431212e-04
1.303355e+01,8.372376e-02,-6.424909e+04,6.424909e+04,1.107052e+01,-1.039790e-03
1.315097e+01,7.621725e-02,-6.421235e+04,6.421235e+04,1.106995e+01,-2.179201e-03
1.326839e+01,6.370607e-02,-6.411926e+04,6.411926e+04,1.106850e+01,-2.930423e-03
1.338581e+01,8.227915e-02,-6.415610e+04,6.415610e+04,1.106907e+01,-2.306871e-03
